1441	Pour une fois dans ma vie je fais un bon geste... Et ça ne sert à rien.	4629766	Talagsa lang ko mobuhat og tarong...ug wala ra man pud diay pulos.
3665394	Il est en train de lire.	4636530	Nagbasa kana siya.
1441	Pour une fois dans ma vie je fais un bon geste... Et ça ne sert à rien.	4639278	Panalagsa ra sa akong tibuok nga kinabuhi makahimo ko ug maayo, mahulog pa gyud sa wala'y pulos.
3842550	Je veux un nouveau chien.	4662399	Bag-ong iroy akong gusto.
1367226	Il eut une vie heureuse.	4662401	Nabuhi siyang malipayon.
1593685	« J'emmènerai mon chien pour que tu puisses faire sa connaissance. » « Quoi ?! Ne t'aventure pas à amener ce cabot ici ! »	5507894	Dal-on ko unya tong akong iro aron imong makita. - Naboang ka? Ayaw paghalahala og dala og hayop dinhi!
941077	Qui est ton avocat ?	6830031	Kinsa imong abogado?
3945	Un, deux, trois, quatre, cinq, six, sept, huit, neuf, dix.	4630311	Usa, duha, tulo, upat, lima, unom, pito, walo, siyam, napulo.
4627925	Combien ?	4625772	Pila?
373345	Bonjour !	4625794	Maayong buntag!
3297	Je ne parle pas japonais.	4630383	Dili ko makahinapon.
180963	Est-ce que ce bâtiment est ouvert au public ?	4643693	Bukas ba sa tanan kining dakbalaya?
1309065	Ce bâtiment est-il ouvert au public ?	4643693	Bukas ba sa tanan kining dakbalaya?
1842777	Je peux le faire !	8658865	Kaya ni nako!
