11554	Avez-vous déjà vu un aussi joli film ?	562873	Чи ийм кино өмнө үзэж байв уу?
129116	De nombreux livres sont publiés chaque année.	558146	Жил бүр маш олон ном хэвлэгддэг.
131262	Il est capable de nager très vite.	562864	Тэр маш хурдан сэлж чадна.
139285	J'ai manqué le train de 7 heures.	564763	Би 7 цагийн галт тэрэгнээс хоцорчихлоо.
341329	Mon cœur s'est arrêté de battre.	546075	Зүрх минь цохилохоо болив.
348542	Jette un coup d'œil à cette carte.	546076	Энэ газрын зургийг хар даа.
377962	J'ai fait un rêve épouvantable cette nuit.	546071	Би өнгөрсөн шөнө аймшигтай хар дарж зүүдэллээ.
417425	Il ne sera pas nécessaire que vous me téléphoniez.	540203	Чи над руу утасдах хэрэггүй.
473291	Vole de l'argent.	556711	Мөнгө хулгайлах.
482492	Tu dois lui prêter attention.	562861	Чи түүний ярианд анхаарал тавихгүй бол болохгүй.
483898	Cela signifie-t-il que tu ne viendras pas ?	564739	Тэгвэл чи ирэхгүй гэсэн үг үү?
495872	Je voudrais passer un test pour le cancer du sein.	1446185	Би хөхний хавдрын шинжилгээ өгмөөр байна.
570931	Il adore les trains.	570939	Тэр галт тэргэнд дуртай.
570932	Retrouvons-nous à nouveau ici demain.	570940	Маргааш энд дахиад уулзацгаая.
570934	Voici l'horloge que j'ai achetée hier.	570942	Энэ миний өчигдөр худалдаж авсан бугуйн цаг.
570935	Seule ma mère me comprend vraiment.	570937	Ганцхан ээж минь л намайг сайн ойлгодог.
570941	Son petit ami est turc.	570943	Тэр турк найз залуутай болсон.
1049708	Je respecte Monsieur Brown.	1446135	Би ноён Брауныг хүндэлж байна.
4646718	Il pleut aujourd'hui.	8954196	Өнөөдөр бороо орж байна.
