1208704	Él se sintió intranquilo en la presencia de su padre.	4642616	Wala siya mahilunang nia ang iyang amahan.
3856371	Ellos van a hacer una fiesta para Sam.	4642713	Naghikay mi para kang Sam.
2285670	Ella llora sin parar.	4642727	Wala siyay undang og hinilak.
745627	Tengo miedo de ir solo.	4642738	Hadlok kong mag-inusara.
1702004	Sería mejor que te pusieras de camino de inmediato.	4642833	Maayo pay adto na dayon ka sa dalan.
3027633	Alguien me está esperando.	4643691	May naghulat nako.
853582	¿Este edificio está abierto al público?	4643693	Bukas ba sa tanan kining dakbalaya?
754724	¿De qué se trata todo este ruido?	4643717	Unsay inyong gikagubtan?
2710977	Trabajaremos mañana.	4650856	Manarbaho ta ugma.
2710978	Ya hemos elegido.	4650857	Human na mi og pili.
1331643	Tom comenzó a aprender francés hace aproximadamente tres años.	4669892	Motulo ka tuig nang nagtuon si Tom og Pinaranses.
1331643	Tom comenzó a aprender francés hace aproximadamente tres años.	4669895	Motulo ka tuig nang nagtuon si Tom og French.
1582579	Dividamos ese dinero entre nosotros dos.	4669909	Kitang duhay magbahin ining kwartaha.
1503479	Un cabello es muy fino.	4670179	Pino kaayo kag buhok.
1602375	Él llegó tarde anoche a la casa.	4674525	Gabii na kaayo siyang mibalik sa balay.
793291	El cura me dio su bendición.	4674528	Gihatag kanako sa kura ang iyang bendisyon.
1041230	Hay una canasta debajo de la mesa.	4674543	Naay bukag ilawom anang lamesa.
1338005	¿Me prestás el cuchillo?	4674588	Pahulama ra kog kutchilyo.
3621694	Me duelen los dientes. Tengo que fijar una cita con mi dentista.	4674591	Kasakit sa akong ngipon. Moadto jud ko sa dentista.
451717	¿Te gusta?	4675232	Gusto mo ba?
4681196	El hombre es el que se ejecuta.	4680860	Ang tawo ang modagan.
4681201	José es el que se ejecuta.	4680855	Si Joseph ang modagan.
4681206	José y sus compañeros son los que correrán.	4680850	Sila si Joseph ang modagan.
4681209	Son José y Vicente los que van a correr.	4680847	Sila si Joseph ug Vincent ang modagan.
4687813	¿Cómo está?	4690645	Kumusta?
4687813	¿Cómo está?	4630208	Unsa na?
4687813	¿Cómo está?	4630055	Unsa na man?
4464734	Tom es tímido y no habla mucho.	5507908	Manggiulawon si Tom ug dili siya kaayo motingog.
5742613	¿Les conoces, verdad?	5638598	Kaila ka kinsa sila, diba?
5742619	Eso aún no soluciona el problema.	5638588	Dili gihapon niini ginasolusyunan ang problema.
5742629	Él ha despertado a Tom.	5638579	Gipukaw niya si Tom.
5742632	No son mis reglas.	5638578	Dili ni mga balaod nako.
5742635	Mi jefe quiere que tomemos el avión.	5507913	Buot sa akong amo nga sa eroplano ta mosakay.
1597425	¡Ojalá!	4790801	Puhon!
5748477	¿Cumplirás tu promesa?	4757470	Tumanon ba nimu ang saad?
5748481	El misionero fue comido por los caníbales.	4749475	Gikaon ang misyonero sa mga tirong.
687977	¡Hijo de puta!	4747439	Puta ina ka!
5761841	Termina tu trabajo.	5195098	Padayona nang inyong gibuhat.
5766820	No tomamos nada por sentado.	5507900	Wala miy nataligam-an.
5766825	Soy cuidadoso.	5423608	Nakabantay ko.
5766830	¿Qué te ha hecho creer esta vez?	5343703	Unsa na say iyang gipatuotuo?
5766834	En el pasado, la gente iba a la iglesia para confesar. Estos días escribe en Facebook.	5280517	Sa una miadto ang mga tawo sa simbahan aron mokumpisal. Karon magsulat sila sa facebook.
5768169	La lluvia ácida no es un fenómeno natural.	4650846	Dili kinaiyanhon ang makaluksaw nga ulan.
5768179	¡Ay no!	4643751	Ayaw intawon!
5768183	¡Qué vestido bonito llevas!	4660372	Kanindut nimug sinina!
5768185	Burj Khalifa actualmente es el edificio más alto en el mundo.	4662404	Burj Khalifa ang kinatas-ang dakbalay sa tibuok kalibotan.
5768187	Compórtate bien durante mi ausencia.	4662402	Pagbinuotan baya samtang wala ko.
5768189	Quiero un perro nuevo.	4662399	Bag-ong iroy akong gusto.
5768193	Añadieron una mujer al comité.	4670029	Gidugangan nila og babaye ang komitiba.
5865337	Ellos no van a saber.	4642688	Dili sila kabalo.
5865341	¡Oye, cállate!	4642745	Hilom diha oy!
5865344	Puedo leer inglés, pero no puedo hablarlo.	4643754	Kabasa kog Iningles, dili lang kalitok.
6391105	Tom besó a Mary en la rueda de la fortuna.	6829968	Gihalukan ni Tom si Mary sa ferris wheel.
346640	A ella le entraron ganas de llorar cuando oyó la noticia.	6830002	Kahilakon siya pagkadungog niya sa balita.
4713117	¿Cuánto?	4625772	Pila?
403913	¡Buenos días!	4625794	Maayong buntag!
4624182	Tenemos un perro.	4625898	Duna miy iro.
2685	No hablo japonés.	4630383	Dili ko makahinapon.
1880786	Yo no hablo japonés.	4630383	Dili ko makahinapon.
958204	¿Qué te trae por aquí?	8407488	Unsay tuyo nimo diri?
